frame_number,intensity,size,x location,y location
5,1.7028939526629558,2457,168.8042328042328,377.27106227106225
5,1.8249754098817978,2984,201.77882037533513,301.7815013404826
2,1.5293704210887267,764,130.04057591623035,379.7264397905759
